data-1 | num=1 | 03/20/23 | 17:49:50 
data-2 | num=1 | 03/20/23 | 17:49:51 
data-3 | num=1 | 03/20/23 | 17:49:51 
data-4 | num=1 | 03/20/23 | 17:49:52 
data-5 | num=1 | 03/20/23 | 17:49:52 
data-6 | num=1 | 03/20/23 | 17:49:53 
data-7 | num=1 | 03/20/23 | 17:49:53 
data-8 | num=1 | 03/20/23 | 17:49:54 
data-9 | num=1 | 03/20/23 | 17:49:54 
data-10 | num=1 | 03/20/23 | 17:49:55 
data-11 | num=1 | 03/20/23 | 17:49:55 
data-12 | num=1 | 03/20/23 | 17:49:56 
data-13 | num=1 | 03/20/23 | 17:49:56 
data-14 | num=1 | 03/20/23 | 17:49:56 
data-15 | num=1 | 03/20/23 | 17:49:57 
data-16 | num=1 | 03/20/23 | 17:49:57 
data-17 | num=1 | 03/20/23 | 17:49:58 
data-18 | num=1 | 03/20/23 | 17:49:58 
data-19 | num=1 | 03/20/23 | 17:49:59 
data-20 | num=1 | 03/20/23 | 17:49:59 
data-21 | num=1 | 03/20/23 | 17:50:00 
data-22 | num=1 | 03/20/23 | 17:50:00 
data-23 | num=1 | 03/20/23 | 17:50:00 
data-24 | num=1 | 03/20/23 | 17:50:01 
data-25 | num=1 | 03/20/23 | 17:50:01 
data-26 | num=1 | 03/20/23 | 17:50:02 
data-27 | num=1 | 03/20/23 | 17:50:02 
data-28 | num=1 | 03/20/23 | 17:50:03 
data-29 | num=1 | 03/20/23 | 17:50:03 
data-30 | num=1 | 03/20/23 | 17:50:04 
data-31 | num=1 | 03/20/23 | 17:50:04 
data-32 | num=1 | 03/20/23 | 17:50:05 
data-33 | num=1 | 03/20/23 | 17:50:06 
data-34 | num=1 | 03/20/23 | 17:50:06 
data-35 | num=1 | 03/20/23 | 17:50:07 
data-36 | num=1 | 03/20/23 | 17:50:07 
data-37 | num=1 | 03/20/23 | 17:50:08 
data-38 | num=1 | 03/20/23 | 17:50:08 
data-39 | num=1 | 03/20/23 | 17:50:09 
data-40 | num=1 | 03/20/23 | 17:50:09 
data-41 | num=1 | 03/20/23 | 17:50:10 
data-42 | num=1 | 03/20/23 | 17:50:10 
data-43 | num=1 | 03/20/23 | 17:50:11 
data-44 | num=1 | 03/20/23 | 17:50:11 
data-45 | num=1 | 03/20/23 | 17:50:12 
data-46 | num=1 | 03/20/23 | 17:50:12 
data-47 | num=1 | 03/20/23 | 17:50:13 
data-48 | num=1 | 03/20/23 | 17:50:13 
data-49 | num=1 | 03/20/23 | 17:50:14 
data-50 | num=1 | 03/20/23 | 17:50:14 
data-51 | num=1 | 03/20/23 | 17:50:15 
data-52 | num=1 | 03/20/23 | 17:50:15 
data-53 | num=1 | 03/20/23 | 17:50:16 
data-54 | num=1 | 03/20/23 | 17:50:17 
data-55 | num=1 | 03/20/23 | 17:50:17 
data-56 | num=1 | 03/20/23 | 17:50:18 
data-57 | num=1 | 03/20/23 | 17:50:18 
data-58 | num=1 | 03/20/23 | 17:50:19 
data-59 | num=1 | 03/20/23 | 17:50:19 
data-60 | num=1 | 03/20/23 | 17:50:20 
data-61 | num=1 | 03/20/23 | 17:50:21 
data-62 | num=1 | 03/20/23 | 17:50:21 
data-63 | num=1 | 03/20/23 | 17:50:22 
data-64 | num=1 | 03/20/23 | 17:50:23 
data-65 | num=1 | 03/20/23 | 17:50:23 
data-66 | num=1 | 03/20/23 | 17:50:24 
data-67 | num=1 | 03/20/23 | 17:50:24 
data-68 | num=1 | 03/20/23 | 17:50:25 
data-69 | num=1 | 03/20/23 | 17:50:25 
data-70 | num=1 | 03/20/23 | 17:50:25 
data-71 | num=1 | 03/20/23 | 17:50:26 
data-72 | num=1 | 03/20/23 | 17:50:26 
data-73 | num=1 | 03/20/23 | 17:50:27 
data-74 | num=1 | 03/20/23 | 17:50:27 
data-75 | num=1 | 03/20/23 | 17:50:28 
data-76 | num=1 | 03/20/23 | 17:50:28 
